200 39800
1 2 9
1 3 7
1 4 4
1 5 1
1 6 7
1 7 9
1 8 10
1 9 7
1 10 3
1 11 5
1 12 2
1 13 8
1 14 2
1 15 1
1 16 6
1 17 6
1 18 3
1 19 3
1 20 9
1 21 4
1 22 9
1 23 8
1 24 4
1 25 2
1 26 5
1 27 1
1 28 6
1 29 9
1 30 2
1 31 6
1 32 4
1 33 2
1 34 6
1 35 1
1 36 5
1 37 3
1 38 1
1 39 10
1 40 10
1 41 8
1 42 7
1 43 2
1 44 8
1 45 8
1 46 4
1 47 7
1 48 7
1 49 9
1 50 2
1 51 10
1 52 6
1 53 2
1 54 3
1 55 7
1 56 6
1 57 1
1 58 1
1 59 5
1 60 1
1 61 4
1 62 1
1 63 1
1 64 2
1 65 4
1 66 6
1 67 4
1 68 3
1 69 10
1 70 5
1 71 1
1 72 5
1 73 5
1 74 7
1 75 7
1 76 6
1 77 4
1 78 10
1 79 4
1 80 6
1 81 3
1 82 9
1 83 6
1 84 3
1 85 6
1 86 3
1 87 6
1 88 9
1 89 10
1 90 7
1 91 5
1 92 9
1 93 6
1 94 1
1 95 8
1 96 8
1 97 3
1 98 7
1 99 8
1 100 6
1 101 4
1 102 4
1 103 8
1 104 4
1 105 9
1 106 8
1 107 6
1 108 4
1 109 6
1 110 6
1 111 3
1 112 6
1 113 1
1 114 4
1 115 4
1 116 10
1 117 6
1 118 3
1 119 4
1 120 10
1 121 5
1 122 10
1 123 3
1 124 4
1 125 7
1 126 4
1 127 8
1 128 2
1 129 4
1 130 9
1 131 7
1 132 8
1 133 7
1 134 3
1 135 2
1 136 2
1 137 1
1 138 10
1 139 1
1 140 2
1 141 9
1 142 4
1 143 10
1 144 10
1 145 2
1 146 2
1 147 6
1 148 6
1 149 1
1 150 2
1 151 5
1 152 5
1 153 3
1 154 9
1 155 2
1 156 6
1 157 1
1 158 9
1 159 6
1 160 1
1 161 10
1 162 9
1 163 9
1 164 5
1 165 9
1 166 6
1 167 8
1 168 6
1 169 7
1 170 4
1 171 1
1 172 2
1 173 7
1 174 10
1 175 4
1 176 9
1 177 1
1 178 3
1 179 10
1 180 3
1 181 3
1 182 7
1 183 4
1 184 7
1 185 5
1 186 8
1 187 6
1 188 7
1 189 3
1 190 5
1 191 7
1 192 7
1 193 9
1 194 2
1 195 2
1 196 3
1 197 1
1 198 5
1 199 7
1 200 1
2 1 9
2 3 6
2 4 8
2 5 6
2 6 10
2 7 6
2 8 2
2 9 6
2 10 3
2 11 7
2 12 7
2 13 1
2 14 10
2 15 8
2 16 4
2 17 5
2 18 6
2 19 9
2 20 5
2 21 5
2 22 3
2 23 2
2 24 1
2 25 9
2 26 6
2 27 7
2 28 9
2 29 7
2 30 7
2 31 5
2 32 5
2 33 10
2 34 9
2 35 6
2 36 2
2 37 2
2 38 4
2 39 8
2 40 9
2 41 8
2 42 10
2 43 7
2 44 7
2 45 6
2 46 8
2 47 9
2 48 10
2 49 6
2 50 1
2 51 7
2 52 1
2 53 6
2 54 1
2 55 1
2 56 3
2 57 8
2 58 8
2 59 5
2 60 10
2 61 5
2 62 8
2 63 5
2 64 5
2 65 4
2 66 7
2 67 9
2 68 8
2 69 7
2 70 8
2 71 2
2 72 2
2 73 6
2 74 9
2 75 10
2 76 2
2 77 5
2 78 1
2 79 3
2 80 4
2 81 6
2 82 8
2 83 4
2 84 4
2 85 9
2 86 7
2 87 5
2 88 6
2 89 3
2 90 7
2 91 7
2 92 6
2 93 4
2 94 1
2 95 9
2 96 4
2 97 6
2 98 2
2 99 4
2 100 2
2 101 3
2 102 6
2 103 3
2 104 9
2 105 1
2 106 8
2 107 10
2 108 7
2 109 2
2 110 3
2 111 7
2 112 7
2 113 10
2 114 6
2 115 3
2 116 7
2 117 1
2 118 5
2 119 2
2 120 8
2 121 8
2 122 7
2 123 9
2 124 9
2 125 8
2 126 9
2 127 2
