100 200
1 2 4
2 3 6
3 4 2
4 5 6
5 6 4
6 7 6
7 8 10
8 9 10
9 10 6
10 11 2
11 12 9
12 13 10
13 14 1
14 15 7
15 16 5
16 17 8
17 18 6
18 19 8
19 20 10
20 21 7
21 22 5
22 23 1
23 24 9
24 25 2
25 26 1
26 27 10
27 28 7
28 29 7
29 30 4
30 31 3
31 32 8
32 33 10
33 34 3
34 35 8
35 36 1
36 37 7
37 38 10
38 39 9
39 40 6
40 41 1
41 42 1
42 43 9
43 44 10
44 45 3
45 46 8
46 47 8
47 48 4
48 49 6
49 50 2
50 51 4
51 52 8
52 53 10
53 54 5
54 55 7
55 56 1
56 57 10
57 58 4
58 59 4
59 60 7
60 61 3
61 62 6
62 63 9
63 64 5
64 65 5
65 66 4
66 67 5
67 68 6
68 69 4
69 70 6
70 71 1
71 72 8
72 73 6
73 74 5
74 75 10
75 76 9
76 77 9
77 78 10
78 79 2
79 80 7
80 81 3
81 82 9
82 83 4
83 84 2
84 85 8
85 86 7
86 87 7
87 88 8
88 89 4
89 90 2
90 91 7
91 92 10
92 93 5
93 94 8
94 95 7
95 96 2
96 97 9
97 98 3
98 99 4
99 100 10
19 25 8
42 57 1
30 7 3
8 33 4
78 81 3
57 65 6
27 97 1
96 42 9
82 53 7
30 95 6
89 3 3
53 46 3
88 93 6
16 22 3
51 49 10
56 77 8
47 93 1
94 78 8
44 79 4
69 42 1
43 21 2
38 89 9
95 9 8
14 51 10
49 94 6
75 76 8
89 35 4
55 70 2
9 87 10
80 42 5
1 55 9
92 86 5
99 53 2
22 3 1
79 61 9
98 8 5
42 39 6
82 68 10
60 9 8
44 75 10
47 45 8
58 17 7
95 81 6
26 27 8
99 66 9
31 68 7
55 17 2
91 48 5
5 14 2
75 25 7
4 74 7
92 24 1
71 79 6
5 75 10
34 75 5
22 58 6
72 89 6
69 35 6
52 32 1
68 99 9
43 65 5
83 31 7
66 91 6
14 12 1
2 10 5
11 87 5
28 49 6
49 81 4
37 19 3
15 88 2
68 9 10
12 49 8
54 89 8
58 13 5
43 16 10
45 50 5
83 64 5
17 71 1
52 95 5
57 44 7
84 78 6
16 44 3
25 63 4
83 90 7
60 44 4
6 36 6
79 99 3
7 30 4
30 74 2
74 69 4
76 100 9
23 63 8
8 54 1
42 38 2
39 100 3
79 44 5
92 60 9
47 60 1
49 8 8
34 60 9
79 73 1
1 100
